OBJECTID,StreetNode,CaptureDate,StreetOn,StreetFrom,StreetTo,CountFirst,CountSecond,TotalVolume,StreetClassification,DirectionFirst,DirectionSecond,Shape__Length
56,53,2022/04/21 00:00:00+00,52nd St,University,Broadway,9723,6622,16345,1,North Bound,South Bound,4626.9150235884
57,54,2018/01/10 00:00:00+00,14th St,52nd,Priest,2043,2427,4470,1,East Bound,West Bound,2683.20832386474
58,55,2022/02/15 07:00:00+00,Broadway Rd,I-10,Priest,13032,14815,27847,0,East Bound,West Bound,2843.84097935758
59,56,2022/03/23 07:00:00+00,Broadway Rd,Priest,Mill,14051,14049,28100,0,East Bound,West Bound,6408.27123946486
60,57,2018/02/28 07:00:00+00,Roosevelt St,13th,Broadway,1170,1211,2381,1,East Bound,West Bound,2646.2972151404
61,58,2018/01/10 00:00:00+00,13th St,Hardy,Mill,1409,1627,3036,1,East Bound,West Bound,3768.22996194599
62,59,2022/04/13 07:00:00+00,Mill Ave,Apache,Broadway,9123,9013,18136,0,North Bound,South Bound,2691.85246396979
63,60,2022/04/20 07:00:00+00,College Ave,Apache,Broadway,2218,2306,4524,1,North Bound,South Bound,2621.43421442926
64,61,2022/02/16 07:00:00+00,Rural Rd,Apache,Broadway,12451,14759,27210,0,North Bound,South Bound,2641.96191907483
65,62,2022/04/23 07:00:00+00,Broadway Rd,Mill,Rural,12356,12911,25267,0,East Bound,West Bound,4139.93006517723
66,63,2022/03/23 07:00:00+00,Broadway Rd,Rural,McClintock,14784,14669,29453,0,East Bound,West Bound,5248.69225787093
67,64,2022/02/23 07:00:00+00,McClintock Dr,Apache,Broadway,13409,13615,27024,0,North Bound,South Bound,2632.26768259167
68,65,2022/02/16 07:00:00+00,Broadway Rd,McClintock,Price,12637,13495,26132,0,East Bound,West Bound,5223.05255094306
69,66,2019/09/25 07:00:00+00,SB Price Rd,Apache,Broadway,0,11709,11709,0,Null,South Bound,2674.59040422059
70,158,2019/10/10 07:00:00+00,NB Price Rd,Apache,Broadway,9890,0,9890,,North Bound,Null,2656.69455260372
71,67,2022/02/15 19:00:00+00,Broadway Rd,Price,Tempe Canal,17339,17411,34750,0,East Bound,West Bound,581.970117403204
72,68,2019/09/25 07:00:00+00,SB Price Rd,Broadway,Southern,0,7288,7288,0,Null,South Bound,5284.5612917463
73,159,2019/11/20 07:00:00+00,NB Price Rd,Broadway,Southern,5914,0,5914,,North Bound,Null,5271.36628570536
74,69,2022/02/16 07:00:00+00,Southern Ave,Price,Tempe Canal,11399,10803,22202,0,East Bound,West Bound,3113.54577208505
75,70,2022/03/02 07:00:00+00,Southern Ave,McClintock,Price,11962,10895,22857,0,East Bound,West Bound,5198.27308751113
76,71,2022/03/02 07:00:00+00,McClintock Dr,Broadway,Southern,11286,12351,23637,0,North Bound,South Bound,5293.26291619904
77,72,2018/03/29 07:00:00+00,Dorsey Lane,Broadway,Southern,2612,1814,4426,1,North Bound,South Bound,5632.28159508703
