,x,y,object_id,incident_id,date_time,year,street_name,cross_street,distance,junction_relation,total_injuries,total_fatalities,injury_severity,collision_manner,light_condition,weather,surface_condition,unit_type_1,age_1,gender_1,travel_direction_1,unit_action_1,violation_1,alcohol_use_1,drug_use_1,unit_type_2,age_2,gender_2,travel_direction_2,unit_action_2,violation_2,alcohol_use_2,drug_use_2,lat,long,date,month,day,time,hour,intersection,severity_class
8,-111.89032,33.40747,9,2584451,2012-01-02 03:30:00,2012,Price Rd,Broadway Rd,0.0,Intersection Non Interchange,0,0,No Injury,Sideswipe Same Direction,Dark Lighted,Clear,Dry,Driver,255,,North,Making Left Turn,Failed To Keep In Proper Lane,No Apparent Influence,No Apparent Influence,Driver,19,Female,North,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.40747,-111.89032,2012-01-02,1.0,2.0,03:30:00,3.0,Price Rd & Broadway Rd,None
16,-111.92629,33.4168300000001,17,2595917,2012-01-03 03:29:00,2012,Rural Rd,Lemon St,0.0,Intersection Related Non Interchange,0,0,No Injury,Left Turn,Dark Lighted,Clear,Dry,Driver,18,Female,East,Making Left Turn,Other,No Apparent Influence,No Apparent Influence,Driver,20,Male,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41683,-111.92629,2012-01-03,1.0,3.0,03:29:00,3.0,Rural Rd & Lemon St,None
30,-111.92627,33.4075,31,2590529,2012-01-04 15:24:00,2012,Rural Rd,Broadway Rd,0.0,Intersection Non Interchange,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Driver,29,Female,South,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,21,Female,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.4075,-111.92627,2012-01-04,1.0,4.0,15:24:00,15.0,Rural Rd & Broadway Rd,None
49,-111.96952,33.4092400000001,50,2598828,2012-01-05 21:32:00,2012,Broadway Rd,52nd St,0.0,Intersection Non Interchange,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Driver,40,Male,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,29,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40924,-111.96952,2012-01-05,1.0,5.0,21:32:00,21.0,Broadway Rd & 52nd St,None
58,-111.94054,33.42193,59,2595930,2012-01-06 16:30:00,2012,University Dr,Mill Ave,-163.152,Other Part Of Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,46,Female,East,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,Driver,43,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42193,-111.94054,2012-01-06,1.0,6.0,16:30:00,16.0,University Dr & Mill Ave,None
63,-111.92629,33.4246600000001,64,2598818,2012-01-07 00:06:00,2012,Rural Rd,6th St,60.192,Intersection Related Non Interchange,0,0,No Injury,Other,Daylight,Clear,Dry,Driver,56,Male,Unknown,Backing,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,58,Female,Unknown,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42466,-111.92629,2012-01-07,1.0,7.0,00:06:00,0.0,Rural Rd & 6th St,None
72,-111.92631,33.39345,73,2597969,2012-01-07 23:18:00,2012,Rural Rd,Southern Ave,180.048,Intersection Related Interchange,1,0,Possible Injury,Rear End,Daylight,Clear,Dry,Driver,18,Female,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,33,Male,South,Making Right Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.39345,-111.92631,2012-01-07,1.0,7.0,23:18:00,23.0,Rural Rd & Southern Ave,Minor
74,-111.9719,33.37821,75,2597965,2012-01-08 01:22:00,2012,Baseline Rd,Pointe Pkwy,25.872,Intersection Interchange,2,0,Possible Injury,Rear End,Daylight,Clear,Dry,Driver,51,Male,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,49,Female,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821,-111.9719,2012-01-08,1.0,8.0,01:22:00,1.0,Baseline Rd & Pointe Pkwy,Minor
78,-111.92589,33.42202,79,2599095,2012-01-08 04:37:00,2012,University Dr,Rural Rd,125.136,Intersection Related Non Interchange,0,0,No Injury,Sideswipe Same Direction,Dark Lighted,Clear,Dry,Driver,40,Male,West,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,Driver,20,Female,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42202,-111.92589,2012-01-08,1.0,8.0,04:37:00,4.0,University Dr & Rural Rd,None
80,-111.94001,33.42193,81,2590531,2012-01-08 09:43:00,2012,University Dr,Mill Ave,0.0,Intersection Non Interchange,0,0,No Injury,Sideswipe Same Direction,Dark Lighted,Clear,Dry,Driver,111,Unknown,West,Going Straight Ahead,Failed To Keep In Proper Lane,No Apparent Influence,No Apparent Influence,Driver,22,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42193,-111.94001,2012-01-08,1.0,8.0,09:43:00,9.0,University Dr & Mill Ave,None
117,-111.92627,33.4075,118,2599154,2012-01-11 14:31:00,2012,Rural Rd,Broadway Rd,0.0,Intersection Non Interchange,0,0,No Injury,Left Turn,Daylight,Clear,Dry,Driver,26,Female,Southeast,Making Left Turn,Unknown,No Apparent Influence,No Apparent Influence,Driver,22,Male,North,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,33.4075,-111.92627,2012-01-11,1.0,11.0,14:31:00,14.0,Rural Rd & Broadway Rd,None
124,-111.89032,33.4070800000001,125,2589146,2012-01-11 23:16:00,2012,Price Rd,Broadway Rd,-139.92,Entrance Exit Ramp Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,44,Female,North,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,Driver,28,Male,North,Going Straight Ahead,Unknown,No Apparent Influence,No Apparent Influence,33.40708,-111.89032,2012-01-11,1.0,11.0,23:16:00,23.0,Price Rd & Broadway Rd,None
129,-111.92629,33.42436,130,2598854,2012-01-12 15:56:00,2012,Rural Rd,6th St,-49.104,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,20,Female,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,21,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42436,-111.92629,2012-01-12,1.0,12.0,15:56:00,15.0,Rural Rd & 6th St,None
133,-111.92629,33.42445,134,2598846,2012-01-12 22:00:00,2012,Rural Rd,6th St,-15.84,Intersection Related Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,22,Male,South,Stopped In Trafficway,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,22,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42445,-111.92629,2012-01-12,1.0,12.0,22:00:00,22.0,Rural Rd & 6th St,None
148,-111.92628,33.4147300000001,149,2595901,2012-01-13 23:30:00,2012,Rural Rd,Apache Blvd,-8.976,Intersection Related Non Interchange,1,0,Possible Injury,Left Turn,Daylight,Clear,Dry,Driver,56,Male,South,Making Left Turn,Inattention Distraction,No Apparent Influence,No Apparent Influence,Pedalcyclist,18,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41473,-111.92628,2012-01-13,1.0,13.0,23:30:00,23.0,Rural Rd & Apache Blvd,Minor
153,-111.96994,33.37825,154,2599149,2012-01-14 01:53:00,2012,Baseline Rd,Wendler Dr,-50.16,Intersection Related Non Interchange,0,0,No Injury,Other,Dark Lighted,Clear,Dry,Driver,34,Female,West,Backing,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,45,Female,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37825,-111.96994,2012-01-14,1.0,14.0,01:53:00,1.0,Baseline Rd & Wendler Dr,None
170,-111.92627,33.40743,171,2592284,2012-01-16 02:30:00,2012,Rural Rd,Broadway Rd,-24.816,Intersection Related Interchange,0,0,No Injury,Rear End,Dark Lighted,Clear,Dry,Driver,65,Female,North,Backing,Other,No Apparent Influence,No Apparent Influence,Driver,19,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40743,-111.92627,2012-01-16,1.0,16.0,02:30:00,2.0,Rural Rd & Broadway Rd,None
178,-111.92629,33.4245000000001,179,2597157,2012-01-17 19:25:00,2012,Rural Rd,6th St,0.0,Intersection Non Interchange,0,0,No Injury,Left Turn,Daylight,Clear,Dry,Driver,19,Female,South,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,24,Male,Northeast,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.4245,-111.92629,2012-01-17,1.0,17.0,19:25:00,19.0,Rural Rd & 6th St,None
187,-111.92627,33.4072400000001,188,2597037,2012-01-18 03:30:00,2012,Rural Rd,Broadway Rd,-95.04,Intersection Related Non Interchange,0,0,No Injury,Rear End,Dark Lighted,Clear,Dry,Driver,19,Female,South,Going Straight Ahead,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,32,Female,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40724,-111.92627,2012-01-18,1.0,18.0,03:30:00,3.0,Rural Rd & Broadway Rd,None
201,-111.96336,33.3782400000001,202,2599092,2012-01-19 02:17:00,2012,Baseline Rd,Priest Dr,-60.192,Intersection Related Non Interchange,2,0,Non Incapacitating Injury,Rear End,Dark Lighted,Clear,Dry,Driver,34,Male,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,31,Female,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37824,-111.96336,2012-01-19,1.0,19.0,02:17:00,2.0,Baseline Rd & Priest Dr,Minor
210,-111.92632,33.3927200000001,211,2592248,2012-01-19 22:59:00,2012,Rural Rd,Southern Ave,-85.008,Intersection Related Non Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,61,Female,North,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,Driver,50,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.39272,-111.92632,2012-01-19,1.0,19.0,22:59:00,22.0,Rural Rd & Southern Ave,None
215,-111.89194,33.4222300000001,216,2589093,2012-01-20 04:46:00,2012,Price Rd,University Dr,80.256,Intersection Related Non Interchange,0,0,No Injury,Rear End,Dark Lighted,Clear,Dry,Driver,20,Male,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,33,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42223,-111.89194,2012-01-20,1.0,20.0,04:46:00,4.0,Price Rd & University Dr,None
221,-111.97043,33.3782400000001,222,2598415,2012-01-20 19:15:00,2012,Baseline Rd,Wendler Dr,-200.112,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,56,Male,East,Going Straight Ahead,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,70,Male,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37824,-111.97043,2012-01-20,1.0,20.0,19:15:00,19.0,Baseline Rd & Wendler Dr,None
236,-111.9525,33.37821,237,2598200,2012-01-21 04:35:00,2012,Baseline Rd,Hardy Dr,0.0,Intersection Non Interchange,3,0,Non Incapacitating Injury,Left Turn,Dark Lighted,Clear,Dry,Driver,23,Female,Southwest,Making Left Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,Driver,24,Male,East,Going Straight Ahead,Speed To Fast For Conditions,Alcohol,No Apparent Influence,33.37821,-111.9525,2012-01-21,1.0,21.0,04:35:00,4.0,Baseline Rd & Hardy Dr,Minor
248,-111.92629,33.4245000000001,249,2598388,2012-01-22 03:17:00,2012,Rural Rd,6th St,0.0,Intersection Related Non Interchange,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Dark Lighted,Clear,Dry,Driver,22,Female,North,Going Straight Ahead,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,18,Male,West,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.4245,-111.92629,2012-01-22,1.0,22.0,03:17:00,3.0,Rural Rd & 6th St,None
257,-111.8903,33.4220100000001,258,2586103,2012-01-23 14:52:00,2012,Price Rd,University Dr,0.0,Intersection Non Interchange,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Driver,36,Female,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,27,Male,North,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.42201,-111.8903,2012-01-23,1.0,23.0,14:52:00,14.0,Price Rd & University Dr,None
267,-111.9263,33.4218500000001,268,2598376,2012-01-24 17:52:00,2012,Rural Rd,University Dr,-64.944,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,21,Female,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,52,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42185,-111.9263,2012-01-24,1.0,24.0,17:52:00,17.0,Rural Rd & University Dr,None
284,-111.92628,33.4288500000001,285,2598373,2012-01-25 19:33:00,2012,Rural Rd,Rio Salado Pkwy,0.0,Intersection Non Interchange,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Driver,31,Male,South,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,19,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42885,-111.92628,2012-01-25,1.0,25.0,19:33:00,19.0,Rural Rd & Rio Salado Pkwy,None
292,-111.92628,33.4144700000001,293,2598577,2012-01-26 15:48:00,2012,Rural Rd,Apache Blvd,-102.96,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,25,Male,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,37,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.41447,-111.92628,2012-01-26,1.0,26.0,15:48:00,15.0,Rural Rd & Apache Blvd,None
309,-111.8903,33.4220100000001,310,2589039,2012-01-27 21:09:00,2012,University Dr,Price Rd,0.0,Intersection Non Interchange,3,0,Possible Injury,Sideswipe Same Direction,Daylight,Cloudy,Dry,Driver,72,Male,West,Making U Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,Driver,21,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42201,-111.8903,2012-01-27,1.0,27.0,21:09:00,21.0,University Dr & Price Rd,Minor
314,-111.96931,33.40918,315,2596022,2012-01-27 23:04:00,2012,Broadway Rd,52nd St,80.256,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,32,Male,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,51,Female,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40918,-111.96931,2012-01-27,1.0,27.0,23:04:00,23.0,Broadway Rd & 52nd St,None
355,-111.92661,33.3929600000001,356,2592344,2012-01-31 19:14:00,2012,Southern Ave,Rural Rd,-91.872,Intersection Related Non Interchange,1,0,Possible Injury,Rear End,Daylight,Clear,Dry,Driver,31,Male,East,Going Straight Ahead,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,36,Female,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.39296,-111.92661,2012-01-31,1.0,31.0,19:14:00,19.0,Southern Ave & Rural Rd,Minor
356,-111.9263,33.4220300000001,357,2599230,2012-01-31 20:15:00,2012,University Dr,Rural Rd,0.0,Intersection Non Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,24,Male,North,Making Left Turn,Other,No Apparent Influence,No Apparent Influence,Driver,37,Male,North,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.42203,-111.9263,2012-01-31,1.0,31.0,20:15:00,20.0,University Dr & Rural Rd,None
364,-111.96925,33.4091700000001,365,2597219,2012-02-01 01:47:00,2012,Broadway Rd,52nd St,99.792,Intersection Related Non Interchange,0,0,No Injury,Sideswipe Same Direction,Dawn,Clear,Dry,Driver,51,Female,West,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,Driver,40,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40917,-111.96925,2012-02-01,2.0,1.0,01:47:00,1.0,Broadway Rd & 52nd St,None
375,-111.96977,33.3782600000001,376,2598336,2012-02-01 22:10:00,2012,Baseline Rd,Wendler Dr,0.0,Intersection Non Interchange,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Driver,47,Female,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,22,Female,Southeast,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.37826,-111.96977,2012-02-01,2.0,1.0,22:10:00,22.0,Baseline Rd & Wendler Dr,None
381,-111.92631,33.3933000000001,382,2595162,2012-02-02 00:34:00,2012,Rural Rd,Southern Ave,126.192,Intersection Related Non Interchange,0,0,No Injury,Sideswipe Same Direction,Dusk,Cloudy,Dry,Driver,20,Female,South,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,Driver,36,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.3933,-111.92631,2012-02-02,2.0,2.0,00:34:00,0.0,Rural Rd & Southern Ave,None
399,-111.92708,33.39295,400,2595591,2012-02-03 01:15:00,2012,Southern Ave,Rural Rd,-233.904,Intersection Related Non Interchange,0,0,No Injury,Left Turn,Dusk,Clear,Dry,Driver,23,Male,Southeast,Making Left Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,Driver,26,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39295,-111.92708,2012-02-03,2.0,3.0,01:15:00,1.0,Southern Ave & Rural Rd,None
416,-111.92631,33.3929600000001,417,2595610,2012-02-03 20:58:00,2012,Rural Rd,Southern Ave,0.0,Intersection Related Non Interchange,0,0,No Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Driver,25,Female,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,35,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.39296,-111.92631,2012-02-03,2.0,3.0,20:58:00,20.0,Rural Rd & Southern Ave,None
427,-111.9742,33.37821,428,2589005,2012-02-04 22:53:00,2012,Baseline Rd,Calle Los Cerros,-38.016,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,38,Female,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,45,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821,-111.9742,2012-02-04,2.0,4.0,22:53:00,22.0,Baseline Rd & Calle Los Cerros,None
431,-111.97,33.37825,432,2597140,2012-02-05 07:28:00,2012,Baseline Rd,Wendler Dr,-70.224,Intersection Non Interchange,1,0,Non Incapacitating Injury,Single Vehicle,Dark Lighted,Clear,Dry,Driver,23,Male,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,,,,,,,,,33.37825,-111.97,2012-02-05,2.0,5.0,07:28:00,7.0,Baseline Rd & Wendler Dr,Minor
434,-111.89049,33.40747,435,2588990,2012-02-06 01:53:00,2012,Broadway Rd,Price Rd,-50.16,Intersection Interchange,0,0,No Injury,Rear End,Dark Lighted,Clear,Dry,Driver,255,,East,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,36,Female,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40747,-111.89049,2012-02-06,2.0,6.0,01:53:00,1.0,Broadway Rd & Price Rd,None
435,-111.9263,33.4220300000001,436,2599642,2012-02-06 02:25:00,2012,University Dr,Rural Rd,0.0,Intersection Non Interchange,2,0,Non Incapacitating Injury,Left Turn,Dark Lighted,Clear,Dry,Driver,18,Female,East,Making Right Turn,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,37,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42203,-111.9263,2012-02-06,2.0,6.0,02:25:00,2.0,University Dr & Rural Rd,Minor
436,-111.92631,33.3929600000001,437,2598345,2012-02-06 03:56:00,2012,Southern Ave,Rural Rd,0.0,Intersection Related Non Interchange,1,0,Possible Injury,ANGLE (Front To Side)(Other Than Left Turn),Dark Lighted,Clear,Dry,Driver,19,Female,South,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,Pedalcyclist,21,Male,East,Going Straight Ahead,Other,No Apparent Influence,No Apparent Influence,33.39296,-111.92631,2012-02-06,2.0,6.0,03:56:00,3.0,Southern Ave & Rural Rd,Minor
440,-111.89199,33.4084300000001,441,2589021,2012-02-07 01:35:00,2012,Price Rd,Broadway Rd,340.032,Intersection Related Non Interchange,0,0,No Injury,Rear End,Dark Lighted,Clear,Dry,Driver,63,Male,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,54,Female,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40843,-111.89199,2012-02-07,2.0,7.0,01:35:00,1.0,Price Rd & Broadway Rd,None
441,-111.96319,33.3782400000001,442,2597129,2012-02-07 06:40:00,2012,Baseline Rd,Priest Dr,-7.92,Intersection Related Non Interchange,0,0,No Injury,Rear End,Dark Lighted,Clear,Dry,Driver,41,Female,East,Slowing In Trafficway,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,41,Female,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37824,-111.96319,2012-02-07,2.0,7.0,06:40:00,6.0,Baseline Rd & Priest Dr,None
447,-111.92628,33.41722,448,2597305,2012-02-07 19:27:00,2012,Rural Rd,Lemon St,139.92,Intersection Related Non Interchange,1,0,Non Incapacitating Injury,Rear End,Daylight,Clear,Dry,Driver,24,Female,South,Going Straight Ahead,Exceeded Lawful Speed,No Apparent Influence,No Apparent Influence,Driver,58,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41722,-111.92628,2012-02-07,2.0,7.0,19:27:00,19.0,Rural Rd & Lemon St,Minor
452,-111.89199,33.4074900000001,453,2589082,2012-02-08 01:29:00,2012,Price Rd,Broadway Rd,0.0,Intersection Interchange,1,0,Possible Injury,ANGLE (Front To Side)(Other Than Left Turn),Dark Lighted,Clear,Dry,Driver,43,Female,South,Making Right Turn,Unknown,No Apparent Influence,No Apparent Influence,Driver,71,Female,South,Making Right Turn,Unknown,No Apparent Influence,No Apparent Influence,33.40749,-111.89199,2012-02-08,2.0,8.0,01:29:00,1.0,Price Rd & Broadway Rd,Minor
475,-111.92628,33.42861,476,2597322,2012-02-09 18:38:00,2012,Rural Rd,Rio Salado Pkwy,-87.12,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,19,Female,North,Going Straight Ahead,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,52,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42861,-111.92628,2012-02-09,2.0,9.0,18:38:00,18.0,Rural Rd & Rio Salado Pkwy,None
480,-111.92629,33.4168300000001,481,2595571,2012-02-09 21:52:00,2012,Rural Rd,Lemon St,0.0,Intersection Non Interchange,0,0,No Injury,Left Turn,Daylight,Clear,Dry,Driver,23,Female,South,Making Left Turn,Other,No Apparent Influence,No Apparent Influence,Driver,18,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41683,-111.92629,2012-02-09,2.0,9.0,21:52:00,21.0,Rural Rd & Lemon St,None
501,-111.89194,33.4220300000001,502,2588966,2012-02-11 16:45:00,2012,Price Rd,University Dr,10.032,Intersection Non Interchange,0,0,No Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,255,,South,Making Left Turn,Failed To Keep In Proper Lane,No Apparent Influence,No Apparent Influence,Driver,29,Female,South,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.42203,-111.89194,2012-02-11,2.0,11.0,16:45:00,16.0,Price Rd & University Dr,None
512,-111.9263,33.4222300000001,513,2599578,2012-02-12 00:44:00,2012,Rural Rd,University Dr,74.976,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,23,Female,South,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,Driver,18,Female,South,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42223,-111.9263,2012-02-12,2.0,12.0,00:44:00,0.0,Rural Rd & University Dr,None
515,-111.89032,33.40747,516,2595208,2012-02-12 06:19:00,2012,Broadway Rd,Price Rd,0.0,Intersection Interchange,2,0,Possible Injury,Left Turn,Dark Lighted,Clear,Dry,Driver,41,Male,West,Making Left Turn,Disregarded Traffic Signal,Alcohol,No Apparent Influence,Driver,27,Male,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40747,-111.89032,2012-02-12,2.0,12.0,06:19:00,6.0,Broadway Rd & Price Rd,Minor
516,-111.89134,33.40747,517,2606538,2012-02-12 06:19:00,2012,Broadway Rd,Price Rd,200.112,Intersection Related Non Interchange,0,0,No Injury,Head On,Dark Lighted,Clear,Dry,Driver,41,Male,West,Going Straight Ahead,Drove Rode In Opposing Traffic Lane,Alcohol,No Apparent Influence,Driver,39,Female,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40747,-111.89134,2012-02-12,2.0,12.0,06:19:00,6.0,Broadway Rd & Price Rd,None
519,-111.92631,33.3932600000001,520,2595165,2012-02-12 19:07:00,2012,Rural Rd,Southern Ave,111.936,Intersection Related Non Interchange,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,52,Male,Southeast,Making Right Turn,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,45,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39326,-111.92631,2012-02-12,2.0,12.0,19:07:00,19.0,Rural Rd & Southern Ave,None
530,-111.92627,33.4075,531,2597332,2012-02-13 22:29:00,2012,Rural Rd,Broadway Rd,0.0,Intersection Non Interchange,1,0,Possible Injury,ANGLE (Front To Side)(Other Than Left Turn),Daylight,Clear,Dry,Pedestrian,21,Female,West,Walking With Traffic,Inattention Distraction,No Apparent Influence,No Apparent Influence,Driver,60,Male,North,Making Right Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.4075,-111.92627,2012-02-13,2.0,13.0,22:29:00,22.0,Rural Rd & Broadway Rd,Minor
