,x,y,object_id,incident_id,date_time,year,street_name,cross_street,distance,junction_relation,total_injuries,total_fatalities,injury_severity,collision_manner,light_condition,weather,surface_condition,unit_type_1,age_1,gender_1,travel_direction_1,unit_action_1,violation_1,alcohol_use_1,drug_use_1,unit_type_2,age_2,gender_2,travel_direction_2,unit_action_2,violation_2,alcohol_use_2,drug_use_2,lat,long,date,month,day,time,hour,intersection,severity_class
41653,-111.9262973,33.4169174100001,41654,3861182,2021-08-31 18:52:00,2021,Rural Rd,Lemon St,30.0,Intersection Related 206,0,0,No Injury,Rear End,Daylight,Cloudy,Dry,Driver,23,Female,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,27,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.41691741,-111.9262973,2021-08-31,8.0,31.0,18:52:00,18.0,Rural Rd & Lemon St,None
41657,-111.9263033,33.42392912,41658,3820586,2021-09-01 00:27:00,2021,Rural Rd,6th St,-207.0,Intersection Related 206,1,0,Possible Injury,Rear End,Daylight,Rain,Wet,Driver,21,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,Driver,61,Female,South,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42392912,-111.9263033,2021-09-01,9.0,1.0,00:27:00,0.0,Rural Rd & 6th St,Minor
41663,-111.9263256,33.3929609900001,41664,3827470,2021-09-01 05:28:00,2021,Southern Ave,Rural Rd,0.0,Intersection 4 Way 202,2,0,Possible Injury,Left Turn,Dark Lighted,Rain,Wet,Driver,30,Male,Northwest,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,Driver,45,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39296099,-111.9263256,2021-09-01,9.0,1.0,05:28:00,5.0,Southern Ave & Rural Rd,Minor
41670,-111.9262831,33.4078315300001,41671,3855477,2021-09-02 05:14:00,2021,Rural Rd,Broadway Rd,120.0,Intersection 4 Way 202,0,0,No Injury,Rear End,Dark Lighted,Clear,Dry,Driver,29,Female,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,27,Male,South,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40783153,-111.9262831,2021-09-02,9.0,2.0,05:14:00,5.0,Rural Rd & Broadway Rd,None
41685,-111.970224,33.37824936,41686,3820619,2021-09-03 15:55:00,2021,Baseline Rd,Wendler Dr,-134.0,Intersection Related 206,3,0,Possible Injury,Rear End,Daylight,Clear,Dry,Driver,52,Female,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,30,Female,East,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37824936,-111.970224,2021-09-03,9.0,3.0,15:55:00,15.0,Baseline Rd & Wendler Dr,Minor
41723,-111.9395781,33.37821674,41724,3855458,2021-09-08 12:57:00,2021,Baseline Rd,Mill Ave,-65.0,Intersection Related 206,0,0,No Injury,U Turn,Dawn,Clear,Dry,Driver,67,Female,East,Making U Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,Driver,37,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821674,-111.9395781,2021-09-08,9.0,8.0,12:57:00,12.0,Baseline Rd & Mill Ave,None
41755,-111.9091089,33.41748004,41756,3837468,2021-09-11 23:26:00,2021,McClintock Dr,Don Carlos Ave,0.0,Intersection 4 Way 202,1,0,Possible Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,Driver,24,Male,South,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,49,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41748004,-111.9091089,2021-09-11,9.0,11.0,23:26:00,23.0,McClintock Dr & Don Carlos Ave,Minor
41765,-111.9262829,33.4075017800001,41766,3838996,2021-09-12 16:57:00,2021,Broadway Rd,Rural Rd,0.0,Intersection 201,1,0,Suspected Serious Injury,Left Turn,Daylight,Clear,Dry,Driver,20,Female,South,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,Driver,21,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.40750178,-111.9262829,2021-09-12,9.0,12.0,16:57:00,16.0,Broadway Rd & Rural Rd,Severe
41768,-111.9466436,33.37819898,41769,3827176,2021-09-13 02:16:00,2021,Baseline Rd,Kyrene Rd,-200.0,Intersection Related 206,1,0,Possible Injury,Rear End,Daylight,Clear,Dry,Driver,120,Unknown,East,Changing Lanes,Unsafe Lane Change,No Apparent Influence,No Apparent Influence,Driver,21,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37819898,-111.9466436,2021-09-13,9.0,13.0,02:16:00,2.0,Baseline Rd & Kyrene Rd,Minor
41771,-111.9091107,33.4172602900001,41772,3863848,2021-09-13 14:43:00,2021,McClintock Dr,Don Carlos Ave,-80.0,Intersection Related 206,1,0,Possible Injury,Rear End,Daylight,Clear,Dry,Driver,22,Female,North,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,21,Female,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.41726029,-111.9091107,2021-09-13,9.0,13.0,14:43:00,14.0,McClintock Dr & Don Carlos Ave,Minor
41775,-111.9262927,33.41444618,41776,3828477,2021-09-14 00:24:00,2021,Rural Rd,Apache Blvd,-115.0,Intersection Related 206,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,18,Male,North,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,Driver,21,Female,North,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.41444618,-111.9262927,2021-09-14,9.0,14.0,00:24:00,0.0,Rural Rd & Apache Blvd,None
41779,-111.9262829,33.40757044,41780,3837403,2021-09-14 07:17:00,2021,Rural Rd,Broadway Rd,25.0,Intersection Related 206,0,0,No Injury,Rear End,Dark Lighted,Clear,Dry,Driver,120,Unknown,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,19,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40757044,-111.9262829,2021-09-14,9.0,14.0,07:17:00,7.0,Rural Rd & Broadway Rd,None
41801,-111.963175,33.37824385,41802,3828435,2021-09-16 22:48:00,2021,Baseline Rd,Priest Dr,0.0,Intersection 4 Way 202,0,0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,Driver,36,Male,West,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,46,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37824385,-111.963175,2021-09-16,9.0,16.0,22:48:00,22.0,Baseline Rd & Priest Dr,None
41803,-111.9263264,33.3934610800001,41804,3825456,2021-09-17 18:46:00,2021,Rural Rd,Southern Ave,182.0,Intersection Related 206,0,0,No Injury,Rear End,Daylight,Cloudy,Dry,Driver,33,Female,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,26,Female,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.39346108,-111.9263264,2021-09-17,9.0,17.0,18:46:00,18.0,Rural Rd & Southern Ave,None
41804,-111.963175,33.37824385,41805,3825457,2021-09-17 18:57:00,2021,Baseline Rd,Priest Dr,0.0,Intersection 4 Way 202,0,0,No Injury,Left Turn,Daylight,Cloudy,Dry,Driver,21,Female,West,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,Driver,25,Male,Northeast,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.37824385,-111.963175,2021-09-17,9.0,17.0,18:57:00,18.0,Baseline Rd & Priest Dr,None
41813,-111.9262972,33.41683505,41814,3820581,2021-09-18 19:04:00,2021,Rural Rd,Lemon St,0.0,Intersection Related 206,0,0,No Injury,Left Turn,Daylight,Clear,Dry,Driver,120,Unknown,East,Going Straight Ahead,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,Driver,18,Female,Northwest,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.41683505,-111.9262972,2021-09-18,9.0,18.0,19:04:00,19.0,Rural Rd & Lemon St,None
41822,-111.9632568,33.3782440200001,41823,3827612,2021-09-19 19:49:00,2021,Baseline Rd,Priest Dr,-25.0,Intersection Related 206,2,0,Possible Injury,Sideswipe Same Direction,Daylight,Clear,Dry,Driver,39,Male,South,Making Right Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,Driver,16,Male,North,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.37824402,-111.9632568,2021-09-19,9.0,19.0,19:49:00,19.0,Baseline Rd & Priest Dr,Minor
41830,-111.9263016,33.4246077400001,41831,3828454,2021-09-20 14:53:00,2021,Rural Rd,6th St,40.0,Intersection Related 206,0,0,No Injury,Rear End,Daylight,Clear,Dry,Driver,50,Female,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,32,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42460774,-111.9263016,2021-09-20,9.0,20.0,14:53:00,14.0,Rural Rd & 6th St,None
41845,-111.9725059,33.3782118600001,41846,3825305,2021-09-22 17:45:00,2021,Baseline Rd,Pointe Pkwy,-156.0,Intersection Related 206,1,0,Possible Injury,Rear End,Daylight,Clear,Dry,Driver,21,Female,East,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,30,Male,East,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821186,-111.9725059,2021-09-22,9.0,22.0,17:45:00,17.0,Baseline Rd & Pointe Pkwy,Minor
41856,-111.940017,33.42193474,41857,3838974,2021-09-23 03:54:00,2021,University Dr,Mill Ave,0.0,Intersection Related 206,2,0,Suspected Serious Injury,Left Turn,Dark Lighted,Clear,Dry,Driver,23,Female,Northeast,Making Left Turn,Made Improper Turn,No Apparent Influence,No Apparent Influence,Driver,28,Male,West,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.42193474,-111.940017,2021-09-23,9.0,23.0,03:54:00,3.0,University Dr & Mill Ave,Severe
41862,-111.9263265,33.39351055,41863,3850091,2021-09-24 00:12:00,2021,Rural Rd,Southern Ave,200.0,Intersection Related 206,0,0,No Injury,Left Turn,Daylight,Clear,Dry,Driver,29,Female,East,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,Driver,42,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39351055,-111.9263265,2021-09-24,9.0,24.0,00:12:00,0.0,Rural Rd & Southern Ave,None
41867,-111.9091089,33.41748004,41868,3828427,2021-09-24 23:43:00,2021,McClintock Dr,Don Carlos Ave,0.0,Intersection 4 Way 202,0,0,No Injury,Left Turn,Daylight,Clear,Dry,Driver,30,Male,North,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,Driver,19,Female,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.41748004,-111.9091089,2021-09-24,9.0,24.0,23:43:00,23.0,McClintock Dr & Don Carlos Ave,None
41869,-111.9262973,33.4169036700001,41870,3828475,2021-09-25 04:05:00,2021,Rural Rd,Lemon St,25.0,Intersection Related 206,1,0,Possible Injury,Rear End,Dark Lighted,Clear,Dry,Driver,18,Female,South,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,Driver,22,Female,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.41690367,-111.9262973,2021-09-25,9.0,25.0,04:05:00,4.0,Rural Rd & Lemon St,Minor
